family	replicate	protein_locality	chemical_locality
MarR	61	0.0	0.0879795487127012
NtrC/XylR	61	0.3220624889636762	0.1037504195181583
TetR	61	0.0174772984150502	0.1077845368108376
Fur	62	0.1947243885991254	0.1889219844483002
GntR	62	0.0	0.097945824518028
IclR	62	0.0717195571955719	0.0889329734986581
LacI/GalR	62	0.0	0.1037803749473981
LysR	62	0.1950304398169229	0.1177537506752108
MarR	62	0.0	0.1140174259522359
NtrC/XylR	62	0.545255118243764	0.0592978010881452
TetR	62	0.0105333942785064	0.1022282603099842
AraC/XylS	63	0.188453790238837	0.1203933440511185
Fur	63	0.2073308528160062	0.0805130548779312
GntR	63	0.0775662650602409	0.0881878974960126
IclR	63	0.0	0.0722843134323773
LacI/GalR	63	0.0	0.0569665690455961
LysR	63	0.1723991268822702	0.0900749073647683
MarR	63	0.0	0.0841361383307075
NtrC/XylR	63	0.545255118243764	0.1141616336411884
TetR	63	0.0168388388016994	0.1006870981287003
AraC/XylS	64	0.0547826086956521	0.084477373935636
Fur	64	0.0939555555555555	0.0974364725231873
GntR	64	0.0	0.0844821638130247
IclR	64	0.1314609929078014	0.1056716707478084
LacI/GalR	64	0.0	0.1059915548052252
LysR	64	0.0830248203632579	0.0791397160212202
MarR	64	0.0	0.0980964883139137
NtrC/XylR	64	0.6161313704909899	0.1476807608438623
TetR	64	0.0493706345843165	0.0890076192773668
AraC/XylS	65	0.3472608695652173	0.2431526016102063
Fur	65	0.2881624986276599	0.1216977284291306
GntR	65	0.0	0.0912912803860674
IclR	65	0.0	0.067585743791436
LacI/GalR	65	0.0	0.0774486789503042
LysR	65	0.1073154126387793	0.1064850920418618
MarR	65	0.123375	0.1386044080018734
NtrC/XylR	65	0.5473465808877214	0.0867287613688977
TetR	65	0.0270448663965375	0.0848792188987875
AraC/XylS	66	0.831	0.0996896087899611
Fur	66	0.2076006385836133	0.0896893291466934
GntR	66	0.0	0.0681326762990838
LacI/GalR	66	0.0	0.0864270637885118
LysR	66	0.1217297585035501	0.0772913260738808
MarR	66	0.0	0.0780371432075207
NtrC/XylR	66	0.5838968946909743	0.0771146424543275
TetR	66	0.0156729167837568	0.0842493896135346
AraC/XylS	67	0.2769999999999999	0.1034145243010375
Fur	67	0.1848921305411371	0.0717064585031337
GntR	67	0.0284898710865561	0.1163057938166494
IclR	67	0.2629219858156029	0.0754144652304969
LysR	67	0.1917502386683356	0.1214844940628617
MarR	67	0.0	0.070365965092842
NtrC/XylR	67	0.6497346221441125	0.1095979372245554
TetR	67	0.0154678824327147	0.0915671477513924
AraC/XylS	68	0.0	0.0733731541508664
Fur	68	0.3087112372849822	0.1399928073576005
LacI/GalR	68	0.0858407407407407	0.0857712783834914
LysR	68	0.2817093286731423	0.0781563214959871
MarR	68	0.0	0.0773618986746719
NtrC/XylR	68	0.3865450204249845	0.1804162143638936
TetR	68	0.0120890328222053	0.1198495270845884
AraC/XylS	69	0.0	0.0888356776633987
Fur	69	0.3665236024469827	0.0883047372273145
GntR	69	0.0	0.1389032583127611
IclR	69	0.2480842911877394	0.0730366916002815
LysR	69	0.0446096943938474	0.0983656908000813
MarR	69	0.0	0.1003646983865953
NtrC/XylR	69	0.5533725670026879	0.118174207157063
TetR	69	0.0160353873202193	0.1030970675023105
AraC/XylS	70	0.4935	0.0938833711093362
Fur	70	0.1822432432432432	0.0907898844960556
GntR	70	0.1271721311475409	0.1019082680360288
IclR	70	0.0	0.0994222554917449
LacI/GalR	70	0.0	0.0753986982222071
LysR	70	0.1592823980769605	0.1376221397433046
MarR	70	0.0	0.0753376752223674
NtrC/XylR	70	0.3925879027078685	0.0966942271196332
TetR	70	0.0291523644054898	0.0923442056766907
AraC/XylS	71	0.0	0.1389182253650064
Fur	71	0.1508444444444444	0.0435751659776415
GntR	71	0.0	0.0767346890952614
IclR	71	0.2658969072164948	0.0976645990938488
LacI/GalR	71	0.1892335329341317	0.1067982118931013
LysR	71	0.1646946784316056	0.1041368634347804
MarR	71	0.0	0.07600895005153
NtrC/XylR	71	0.0	0.132888658795184
