split	fold	model	query_id	n_candidates	n_positives	best_positive_rank	H1	H10	H50	MRR	Recall_at_1pct
Random-edge	0	T_L	C(C(COP(=O)(O)O)O)O	6457	1	3	0.0	1.0	1.0	0.3333333333333333	1.0
Random-edge	0	Dstar	C(C(COP(=O)(O)O)O)O	6457	1	3167	0.0	0.0	0.0	0.0003157562361856	0.0
Random-edge	0	B	C(C(COP(=O)(O)O)O)O	6457	1	3	0.0	1.0	1.0	0.3333333333333333	1.0
Random-edge	0	F	C(C(COP(=O)(O)O)O)O	6457	1	8	0.0	1.0	1.0	0.125	1.0
Random-edge	0	T_P	C(C1C(C(C(C(O1)O)O)O)O)O	6457	1	5379	0.0	0.0	0.0	0.0001859081613682	0.0
Random-edge	0	T_L	C(C1C(C(C(C(O1)O)O)O)O)O	6457	1	5439	0.0	0.0	0.0	0.0001838573267144	0.0
Random-edge	0	Dstar	C(C1C(C(C(C(O1)O)O)O)O)O	6457	1	2353	0.0	0.0	0.0	0.0004249893752656	0.0
Random-edge	0	B	C(C1C(C(C(C(O1)O)O)O)O)O	6457	1	2314	0.0	0.0	0.0	0.0004321521175453	0.0
Random-edge	0	F	C(C1C(C(C(C(O1)O)O)O)O)O	6457	1	2314	0.0	0.0	0.0	0.0004321521175453	0.0
Random-edge	0	T_P	C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(C=O)O)O)CO)O)O)O)O	6457	1	2228	0.0	0.0	0.0	0.0004488330341113	0.0
Random-edge	0	T_L	C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(C=O)O)O)CO)O)O)O)O	6457	1	2489	0.0	0.0	0.0	0.0004017677782241	0.0
Random-edge	0	Dstar	C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(C=O)O)O)CO)O)O)O)O	6457	1	1952	0.0	0.0	0.0	0.0005122950819672	0.0
Random-edge	0	B	C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(C=O)O)O)CO)O)O)O)O	6457	1	1935	0.0	0.0	0.0	0.000516795865633	0.0
Random-edge	0	F	C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(C=O)O)O)CO)O)O)O)O	6457	1	1935	0.0	0.0	0.0	0.000516795865633	0.0
Random-edge	0	T_P	C(CC(=O)N)[C@@H](C(=O)O)N	6457	1	5677	0.0	0.0	0.0	0.0001761493746697	0.0
Random-edge	0	T_L	C(CC(=O)N)[C@@H](C(=O)O)N	6457	1	5721	0.0	0.0	0.0	0.0001747946163258	0.0
Random-edge	0	Dstar	C(CC(=O)N)[C@@H](C(=O)O)N	6457	1	2368	0.0	0.0	0.0	0.0004222972972972	0.0
Random-edge	0	B	C(CC(=O)N)[C@@H](C(=O)O)N	6457	1	2277	0.0	0.0	0.0	0.0004391743522178	0.0
Random-edge	0	F	C(CC(=O)N)[C@@H](C(=O)O)N	6457	1	2277	0.0	0.0	0.0	0.0004391743522178	0.0
Random-edge	0	T_P	C(CC(=O)O)C=O	6457	1	3689	0.0	0.0	0.0	0.0002710761724044	0.0
Random-edge	0	T_L	C(CC(=O)O)C=O	6457	1	8	0.0	1.0	1.0	0.125	1.0
Random-edge	0	Dstar	C(CC(=O)O)C=O	6457	1	5	0.0	1.0	1.0	0.2	1.0
Random-edge	0	B	C(CC(=O)O)C=O	6457	1	9	0.0	1.0	1.0	0.1111111111111111	1.0
Random-edge	0	F	C(CC(=O)O)C=O	6457	1	4	0.0	1.0	1.0	0.25	1.0
Random-edge	0	T_P	C(CC(=O)O)[C@@H](C(=O)O)NC=O	6457	1	2770	0.0	0.0	0.0	0.0003610108303249	0.0
Random-edge	0	T_L	C(CC(=O)O)[C@@H](C(=O)O)NC=O	6457	1	1	1.0	1.0	1.0	1.0	1.0
Random-edge	0	Dstar	C(CC(=O)O)[C@@H](C(=O)O)NC=O	6457	1	29	0.0	0.0	1.0	0.0344827586206896	1.0
Random-edge	0	B	C(CC(=O)O)[C@@H](C(=O)O)NC=O	6457	1	1	1.0	1.0	1.0	1.0	1.0
Random-edge	0	F	C(CC(=O)O)[C@@H](C(=O)O)NC=O	6457	1	2	0.0	1.0	1.0	0.5	1.0
Random-edge	0	T_P	C(CC(=O)[O-])C(=O)C(=O)[O-]	6457	1	4699	0.0	0.0	0.0	0.0002128112364332	0.0
Random-edge	0	T_L	C(CC(=O)[O-])C(=O)C(=O)[O-]	6457	1	4801	0.0	0.0	0.0	0.0002082899395959	0.0
Random-edge	0	Dstar	C(CC(=O)[O-])C(=O)C(=O)[O-]	6457	1	221	0.0	0.0	0.0	0.004524886877828	0.0
Random-edge	0	B	C(CC(=O)[O-])C(=O)C(=O)[O-]	6457	1	197	0.0	0.0	0.0	0.0050761421319796	0.0
Random-edge	0	F	C(CC(=O)[O-])C(=O)C(=O)[O-]	6457	1	200	0.0	0.0	0.0	0.005	0.0
Random-edge	0	T_P	C(CCCN)CCN	6457	1	4170	0.0	0.0	0.0	0.0002398081534772	0.0
Random-edge	0	T_L	C(CCCN)CCN	6457	1	2	0.0	1.0	1.0	0.5	1.0
Random-edge	0	Dstar	C(CCCN)CCN	6457	1	2	0.0	1.0	1.0	0.5	1.0
Random-edge	0	B	C(CCCN)CCN	6457	1	2	0.0	1.0	1.0	0.5	1.0
Random-edge	0	F	C(CCCN)CCN	6457	1	2	0.0	1.0	1.0	0.5	1.0
Random-edge	0	T_P	C(CCN)C[C@@H](C(=O)O)N	6456	1	1	1.0	1.0	1.0	1.0	1.0
Random-edge	0	T_L	C(CCN)C[C@@H](C(=O)O)N	6456	1	8	0.0	1.0	1.0	0.125	1.0
Random-edge	0	Dstar	C(CCN)C[C@@H](C(=O)O)N	6456	1	10	0.0	1.0	1.0	0.1	1.0
Random-edge	0	B	C(CCN)C[C@@H](C(=O)O)N	6456	1	14	0.0	0.0	1.0	0.0714285714285714	1.0
Random-edge	0	F	C(CCN)C[C@@H](C(=O)O)N	6456	1	1	1.0	1.0	1.0	1.0	1.0
Random-edge	0	T_P	C(CCNCCCN)CN	6456	1	1131	0.0	0.0	0.0	0.0008841732979664	0.0
Random-edge	0	T_L	C(CCNCCCN)CN	6456	1	1	1.0	1.0	1.0	1.0	1.0
Random-edge	0	Dstar	C(CCNCCCN)CN	6456	1	1	1.0	1.0	1.0	1.0	1.0
Random-edge	0	B	C(CCNCCCN)CN	6456	1	12	0.0	0.0	1.0	0.0833333333333333	1.0
Random-edge	0	F	C(CCNCCCN)CN	6456	1	1	1.0	1.0	1.0	1.0	1.0
Random-edge	0	T_P	C(CO)C(=O)O	6456	1	568	0.0	0.0	0.0	0.0017605633802816	0.0
Random-edge	0	T_L	C(CO)C(=O)O	6456	1	76	0.0	0.0	0.0	0.0131578947368421	0.0
Random-edge	0	Dstar	C(CO)C(=O)O	6456	1	515	0.0	0.0	0.0	0.0019417475728155	0.0
Random-edge	0	B	C(CO)C(=O)O	6456	1	111	0.0	0.0	0.0	0.009009009009009	0.0
Random-edge	0	F	C(CO)C(=O)O	6456	1	111	0.0	0.0	0.0	0.009009009009009	0.0
