split	fold	query_id	candidate_hash	TP_rank	TL_rank	Dstar_rank	B_rank	F_rank	outer_fold	query_ligand_id	held_out_protein_id	availability_stratum
Random-edge	0	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O	4bc4e2950a34015dc197c68f8d50b94b	1938.0	9.0	8.0	33.0	13.0	0	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O	4bc4e2950a34015dc197c68f8d50b94b	both
Random-edge	0	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O	3290228581f3ded46603a65c7dbe2a87	9.0	1610.0	648.0	13.0	28.0	0	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O	3290228581f3ded46603a65c7dbe2a87	protein_only
Random-edge	0	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O	f2eaf8b842625d5e7da52db26065f933	6161.0	6154.0	435.0	5977.0	5975.0	0	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O	f2eaf8b842625d5e7da52db26065f933	protein_only
Random-edge	0	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)O)O)O)O	1dbda059dbd2b4ffe5bba3779b03412b	758.0	1.0	1.0	1.0	1.0	0	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)O)O)O)O	1dbda059dbd2b4ffe5bba3779b03412b	ligand_only
Random-edge	0	C([C@@H]1[C@H]([C@H]([C@@H](O1)O)O)O)O	dc1e91f836209d60e254769b84a92a0f	5650.0	5646.0	759.0	5499.0	5500.0	0	C([C@@H]1[C@H]([C@H]([C@@H](O1)O)O)O)O	dc1e91f836209d60e254769b84a92a0f	protein_only
Random-edge	0	C([C@H]([C@H]([C@@H](C(=O)C(=O)O)O)O)O)O	557c6d697d503ea7d351216d2441ba93	2195.0	2457.0	3908.0	3799.0	3800.0	0	C([C@H]([C@H]([C@@H](C(=O)C(=O)O)O)O)O)O	557c6d697d503ea7d351216d2441ba93	neither
Random-edge	0	C([C@H]([C@H]([C@@H](C(=O)C(=O)O)O)O)O)O	eb59456351057b30713da8a926007643	5944.0	5976.0	2230.0	2062.0	2062.0	0	C([C@H]([C@H]([C@@H](C(=O)C(=O)O)O)O)O)O	eb59456351057b30713da8a926007643	neither
Random-edge	0	C([C@H]([C@H]([C@@H](C(=O)COP(=O)(O)O)O)O)O)O	b69733282dba9d9c66611dcc06e86583	1.0	1.0	1.0	2.0	1.0	0	C([C@H]([C@H]([C@@H](C(=O)COP(=O)(O)O)O)O)O)O	b69733282dba9d9c66611dcc06e86583	both
Random-edge	0	C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)OP(=O)(O)[O-]	44128bc565504ce2d9e47edbf6104302	15.0	1.0	34.0	37.0	15.0	0	C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)OP(=O)(O)[O-]	44128bc565504ce2d9e47edbf6104302	both
Random-edge	0	C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O	3bc30c6e0efeb551e706ffa51cd07ed6	32.0	19.0	1322.0	60.0	57.0	0	C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O	3bc30c6e0efeb551e706ffa51cd07ed6	both
Random-edge	0	C1(C(C(OC(C1O)O)C(=O)O)O)O	022fb3f73dae00ef40aaa4e42ab852b8	61.0	1.0	5030.0	1.0	2.0	0	C1(C(C(OC(C1O)O)C(=O)O)O)O	022fb3f73dae00ef40aaa4e42ab852b8	ligand_only
Random-edge	0	C1=C(NC=N1)C[C@@H](C(=O)O)N	2c530e8494ce33e8b8ffa87e78598fa9	1157.0	1483.0	244.0	1287.0	1287.0	0	C1=C(NC=N1)C[C@@H](C(=O)O)N	2c530e8494ce33e8b8ffa87e78598fa9	protein_only
Random-edge	0	C1=CC(=C(C(=C1)O)C(=O)C2=CC(=C(N2)Cl)Cl)O	e5238492f31999a8bb36ce0a6d874016	3.0	5834.0	320.0	3.0	3.0	0	C1=CC(=C(C(=C1)O)C(=O)C2=CC(=C(N2)Cl)Cl)O	e5238492f31999a8bb36ce0a6d874016	protein_only
Random-edge	0	C1=CC(=C(C(=C1)[O-])C(=O)O)O	0d8c0668d82c7bc12abcaf125fb5457d	342.0	727.0	221.0	113.0	116.0	0	C1=CC(=C(C(=C1)[O-])C(=O)O)O	0d8c0668d82c7bc12abcaf125fb5457d	neither
