split	method	query_count	seed_count	H1	H5	H10	H50	MRR	Recall_at_1pct
Random-edge	Random ranking	758	100	0.00011873350923482849	0.0007651715039577837	0.0016886543535620056	0.008469656992084433	0.001502542407054314	0.009890941072999121
Random-edge	Response-degree prior	758	100	0.015065963060686015	0.07255936675461741	0.10799472295514512	0.25675461741424804	0.05179218007617804	0.2756635883905013
