split	comparison	group_column	query_count	group_count	H10_delta	H10_ci_low	H10_ci_high	H50_delta	H50_ci_low	H50_ci_high	MRR_delta	MRR_ci_low	MRR_ci_high
Random-edge	F-B	ligand_group	758	552	0.0356200527704485	0.0155642023346303	0.0561224489795918	0.0105540897097625	0.0025282061733545	0.0196850393700787	0.029172065332439	0.0135262428645543	0.044532685059684
Random-edge	F-joint_1nn	ligand_group	758	552	0.1081794195250659	0.075880758807588	0.1421121251629726	0.1715039577836411	0.1332397795866105	0.2110215053763441	0.0506293813870031	0.029092726052855	0.0724770843534083
TF-50	F-B	ligand_group	706	552	0.0410764872521246	0.0257095508905387	0.0577471085107619	0.0084985835694051	0.0027815445835265	0.0159651669085631	0.0274483483623108	0.0186037187317448	0.0374890889341741
TF-50	F-joint_1nn	ligand_group	706	552	0.0552407932011331	0.0297019214633327	0.080576076452271	0.1005665722379603	0.0648414985590778	0.1375008954154727	0.0436888320622791	0.0294065822534025	0.0589097477405806
Ligand-Morgan-0.5	F-B	split_unit	531	239	0.0094161958568738	-0.0016234426142962	0.0220592293208674	0.0	-0.0088809946714031	0.0090914267964381	-0.0025547718909906	-0.0148221281438817	0.0088240874179919
Ligand-Morgan-0.5	F-joint_1nn	split_unit	531	239	0.0677966101694915	0.0248073058560138	0.1163710212201591	0.160075329566855	0.1081559546146493	0.2142891952102477	0.0135686030361612	-0.0068018423628263	0.0336997961653999
Ligand-Morgan-0.5	F-C	split_unit	531	239	0.0131826741996233	-0.0178928983642899	0.0450247137074629	0.0188323917137476	-0.0265983267919851	0.0657086924331007	-0.0100137066251102	-0.0293806443425146	0.008649253683886
