family	target_count	TP_H10	TP_median_rank	TL_H10	TL_median_rank	Dstar_H10	Dstar_median_rank	B_H10	B_median_rank	F_H10	F_median_rank	edge_count	protein_count	ligand_count	median_ligand_response_degree	median_protein_ligand_breadth	protein_locality	protein_nodes	chemical_locality	chemical_nodes	protein_null_mean	protein_null_ci_low	protein_null_ci_high	protein_empirical_p_two_sided	chemical_null_mean	chemical_null_ci_low	chemical_null_ci_high	chemical_empirical_p_two_sided
AraC/XylS	46	0.3478260869565217	551.0	0.4565217391304347	47.0	0.3695652173913043	31.5	0.5434782608695652	8.5	0.5217391304347826	7.5	46	26	37	1.5	2.0	0.6761448256014769	7.0	0.5480149195942605	9.0	0.2008522901464825	0.0	0.8340000000000001	0.0656455142231947	0.1041087705986993	0.0672166297883691	0.1756596081538509	0.0021881838074398
Fur	33	0.3333333333333333	19.0	0.0	2377.0	0.0303030303030303	345.0	0.303030303030303	30.0	0.303030303030303	30.0	33	21	8	11.0	2.0												
GntR	48	0.0416666666666666	2511.5	0.2916666666666667	315.5	0.0416666666666666	606.5	0.2083333333333333	379.0	0.1875	380.5	48	31	42	2.0	2.0	0.3113561343654281	6.0	0.4266699790199608	12.0	0.0489115763349239	0.0	0.2861946902654867	0.0232018561484918	0.1040371663555605	0.0610737430376685	0.178113061150571	0.0023201856148491
IclR	39	0.1025641025641025	2793.0	0.2564102564102564	118.0	0.358974358974359	48.0	0.4102564102564102	23.0	0.4358974358974359	26.0	39	24	35	1.0	2.0	0.6697789359255537	4.0	0.3973538490346814	8.0	0.0793133190089876	0.0	0.4019153179968888	0.019543973941368	0.0970472013642529	0.0531407828390264	0.1956050545645579	0.003257328990228
LacI/GalR	45	0.1555555555555555	2050.0	0.3555555555555555	1610.0	0.2444444444444444	373.0	0.2666666666666666	43.0	0.2444444444444444	33.0	45	31	32	2.0	2.0	0.3780656219215016	8.0	0.6229686210444159	10.0	0.0916300142447533	0.0	0.3293333333333333	0.017632241813602	0.0987545161293696	0.0559765108158148	0.1687598785696951	0.0025188916876574
LysR	106	0.4245283018867924	173.0	0.3584905660377358	69.0	0.490566037735849	13.0	0.5283018867924528	9.0	0.5566037735849056	7.0	106	63	69	2.0	2.0	0.6029172876902185	23.0	0.3311251141820597	21.0	0.1304170582159614	0.0253108772296613	0.2654306704364001	0.0019960079840319	0.105672825594929	0.0712308658769574	0.1515186054113272	0.0019960079840319
MarR	69	0.0	2894.0	0.4057971014492754	57.0	0.4202898550724637	21.0	0.3623188405797101	49.0	0.4202898550724637	51.0	69	31	62	1.0	3.0	0.0422093073593073	5.0	0.3536905607182493	19.0	0.0207733958584785	0.0	0.1645	0.1872340425531914	0.0941290537542931	0.0659811734939516	0.140382735505431	0.002127659574468
NtrC/XylR	48	0.4375	1169.0	0.7708333333333334	3.5	0.7083333333333334	2.5	0.7083333333333334	2.0	0.7916666666666666	2.0	48	14	35	2.0	7.0	0.6821024997531238	10.0	0.4014104766504179	7.0	0.50963718266176	0.1733993607060108	0.7851545215032449	0.2937625754527163	0.1062881926657251	0.0668984614395022	0.1730149702108707	0.0020120724346076
TetR	258	0.0813953488372093	2233.0	0.4651162790697674	18.5	0.3953488372093023	26.5	0.3875968992248062	23.5	0.4457364341085271	17.0	258	108	198	1.0	4.0	0.1522524117682312	39.0	0.4481158410174666	50.0	0.0205759184608782	0.0042836400862696	0.0502035828019232	0.0019960079840319	0.0944524598360685	0.0786601312935695	0.1187931228949259	0.0019960079840319
